,title,company,location,salary,summary
19,Data Science Inter,LeapGrad Corp.,"Toronto, ON•Temporarily Remote",,"Ability to data extract, transform, and load processes with a variety of data types.Ability to perform complex data analysis on large volumes of data and…"
20,Data Science - Trading,CPQi,"Halifax, NS+1 location•Remote","$120,000 a year","Knowledgeable about best practices around data manipulation, data storage, and data visualizations.Showing a willingness and ability to help build data science…"
21,Data Science – 4 Month Co-Op/Internship (Winter 2022),Intact,"Vancouver, BC+2 locations",,"Get experience working with different types of data including telematics, text data and image data.Practical experience in data science, Machine Learning or…"
22,Data Scientist - 05/12/21,Acerta Analytics Solutions Inc,"Kitchener, ON","$90,000 - $115,000 a year",Minimum of 3 - 5 years of data science experience using python.Experience with time-series and operations data is an asset.Available in office full-time (KW).
23,Data Science & Analytics Masters - New Grad Leadership Devel...,Rogers Communications,"Brampton, ON•Temporarily Remote",,"Passionate about technology, data science, analytical models, machine learning, quantitative modelling, software development and automation."
24,Data Science Instructor,Fanavaran,"Mississauga, ON•Remote","$54,602 - $119,129 a year","Train in-person or online boot camp students, the next generation of data scientists, on a wide range of topics ranging from statistics, probability, SQL, R…"
25,Data Scientist,Billi,"Victoria, BC•Remote","$80,000 - $100,000 a year","Demonstrated statistical, machine learning, and data science skills.Acting as the primary source of expertise on machine learning and owning the data science…"
26,Data Science and Analytics - New Grad Leadership Development...,Rogers Communications,"Brampton, ON•Temporarily Remote",,"Passionate about analytical and statistical modeling, data science, machine learning, data visualization and deriving knowledge from raw data in general."
27,Data Analyst,Sonic Incytes Medical Corp.,"Vancouver, BC•Temporarily Remote","$60,000 - $90,000 a year","Technical expertise & knowledge in data mining, data models, analysis, and reporting.Designing and maintaining data systems / databases, focused on competitive…"
28,Data Science Instructor,Journey Education,Canada•Remote,"$10,000 - $15,000 a month","As a data science instructor you will be responsible for leading lectures on various topics, assigning course work, grading, and mentoring students on a 1-1…"
29,Data Science Inter,Flinks,"Montréal, QC",,Present information using data visualization techniques.Clean & update training data through manual labeling.Train NLP models on SageMaker.
30,"Director, Data Scienc",Webware.io,"Toronto, ON•Temporarily Remote","$140,000 - $150,000 a year",5-7 years data science experience data science manipulating data sets and building statistical models and creating reports.Temporarily due to COVID-19.
31,Data Scientist,Canexia Health Inc.,"Vancouver, BC•Remote","$53,348 - $129,295 a year","Education: You hold a Master’s degree in bioinformatics, data science, biostatistics, or.Prepare statistically motivated plots of mutation data for…"
32,ML Engineer (Remote Only),Translucent Computing,"Quebec City, QC•Remote",,"Orchestrate access of data from code or raw data sources via data pipeline.Enable continuous delivery of data by automating data governance, integration and…"
33,Computer Vision Engineer,(AI)RM Consulting Ltd.,"Winnipeg, MB•Remote","$75,000 - $115,000 a year","Translate business requirements into conceptual, logical, and physical data models.Collaborate with product managers, software engineers, and engineering data…"
34,Data / Imaging Scientist,Tailored Management,"Mississauga, ON•Temporarily Remote",$56 - $66 an hour,Product development experience with a focus on data analysis preferred.Implements or modifies existing algorithms to analyze histopathology images and data.
35,Data Science - Trading,CPQi,"Halifax, NS+1 location•Remote","$120,000 a year","Knowledgeable about best practices around data manipulation, data storage, and data visualizations.Showing a willingness and ability to help build data science…"
36,Data Science – 4 Month Co-Op/Internship (Winter 2022),Intact,"Vancouver, BC+2 locations",,"Get experience working with different types of data including telematics, text data and image data.Practical experience in data science, Machine Learning or…"
37,Data Science Instructor,Fanavaran,"Mississauga, ON•Remote","$54,602 - $119,129 a year","Train in-person or online boot camp students, the next generation of data scientists, on a wide range of topics ranging from statistics, probability, SQL, R…"
38,Data Scientist - 05/12/21,Acerta Analytics Solutions Inc,"Kitchener, ON","$90,000 - $115,000 a year",Minimum of 3 - 5 years of data science experience using python.Experience with time-series and operations data is an asset.Available in office full-time (KW).
39,Data Scientist,Phyla,"Montréal, QC•Remote","$70,000 - $80,000 a year",Experience in development and implementation of experimental and analytical strategies to address a variety of business problems with advanced data science…
40,Data Science Instructor,Journey Education,Canada•Remote,"$10,000 - $15,000 a month","As a data science instructor you will be responsible for leading lectures on various topics, assigning course work, grading, and mentoring students on a 1-1…"
41,Data Science & Analytics Masters - New Grad Leadership Devel...,Rogers Communications,"Brampton, ON•Temporarily Remote",,"Passionate about technology, data science, analytical models, machine learning, quantitative modelling, software development and automation."
42,Marketing Data Analyst,ATS Automation,"Cambridge, ON•Temporarily Remote",,"Bachelor’s degree in marketing, statistics, or data science.Experience with data visualization tools (Tableau preferred).Experience with various survey tools."
43,"Manager, Fraud Data Scienc",RBC,"Toronto, ON•Temporarily Remote",,"3+ years of data science or analytics experience.Strong knowledge of Big Data platforms, architecture and data tools such as Hadoop and Spark."
44,Data Science and Analytics - New Grad Leadership Development...,Rogers Communications,"Brampton, ON•Temporarily Remote",,"Passionate about analytical and statistical modeling, data science, machine learning, data visualization and deriving knowledge from raw data in general."
45,"Director, Data Scienc",Webware.io,"Toronto, ON•Temporarily Remote","$140,000 - $150,000 a year",5-7 years data science experience data science manipulating data sets and building statistical models and creating reports.Temporarily due to COVID-19.
46,Data Scientist,Canexia Health Inc.,"Vancouver, BC•Remote","$53,348 - $129,295 a year","Education: You hold a Master’s degree in bioinformatics, data science, biostatistics, or.Prepare statistically motivated plots of mutation data for…"
47,ML Engineer (Remote Only),Translucent Computing,"Quebec City, QC•Remote",,"Orchestrate access of data from code or raw data sources via data pipeline.Enable continuous delivery of data by automating data governance, integration and…"
48,Data Engineer / ML Engineer,GrantMatch Corp.,"Toronto, ON•Remote","$80,000 a year",Create a comprehensive data catalogue of this financial data.SQL/PostgreSQL and data model design (logical & physical data models).
49,Data Science - Trading,CPQi,"Halifax, NS+1 location•Remote","$120,000 a year","Knowledgeable about best practices around data manipulation, data storage, and data visualizations.Showing a willingness and ability to help build data science…"
50,Data / Imaging Scientist,Tailored Management,"Mississauga, ON•Temporarily Remote",$56 - $66 an hour,Product development experience with a focus on data analysis preferred.Implements or modifies existing algorithms to analyze histopathology images and data.
51,Data Analyst/Engineer,TELUS International Inc.,"Edmonton, AB•Remote",$75 - $80 an hour,Create an inventory of enterprise’s data and store data in an easily accessible format.Assess the enterprise’s internal and external data and design blueprint…
52,Data Science – 4 Month Co-Op/Internship (Winter 2022),Intact,"Vancouver, BC+2 locations",,"Get experience working with different types of data including telematics, text data and image data.Practical experience in data science, Machine Learning or…"
53,Data Science Instructor,Fanavaran,"Mississauga, ON•Remote","$54,602 - $119,129 a year","Train in-person or online boot camp students, the next generation of data scientists, on a wide range of topics ranging from statistics, probability, SQL, R…"
54,Data Scientist - 05/12/21,Acerta Analytics Solutions Inc,"Kitchener, ON","$90,000 - $115,000 a year",Minimum of 3 - 5 years of data science experience using python.Experience with time-series and operations data is an asset.Available in office full-time (KW).
55,Data Scientist,Phyla,"Montréal, QC•Remote","$70,000 - $80,000 a year",Experience in development and implementation of experimental and analytical strategies to address a variety of business problems with advanced data science…
56,Data Science Instructor,Journey Education,Canada•Remote,"$10,000 - $15,000 a month","As a data science instructor you will be responsible for leading lectures on various topics, assigning course work, grading, and mentoring students on a 1-1…"
57,Data Science & Analytics Masters - New Grad Leadership Devel...,Rogers Communications,"Brampton, ON•Temporarily Remote",,"Passionate about technology, data science, analytical models, machine learning, quantitative modelling, software development and automation."
58,Marketing Data Analyst,ATS Automation,"Cambridge, ON•Temporarily Remote",,"Bachelor’s degree in marketing, statistics, or data science.Experience with data visualization tools (Tableau preferred).Experience with various survey tools."
59,"Manager, Fraud Data Scienc",RBC,"Toronto, ON•Temporarily Remote",,"3+ years of data science or analytics experience.Strong knowledge of Big Data platforms, architecture and data tools such as Hadoop and Spark."
60,Data Scientist,Canexia Health Inc.,"Vancouver, BC•Remote","$53,348 - $129,295 a year","Education: You hold a Master’s degree in bioinformatics, data science, biostatistics, or.Prepare statistically motivated plots of mutation data for…"
61,ML Engineer (Remote Only),Translucent Computing,"Quebec City, QC•Remote",,"Orchestrate access of data from code or raw data sources via data pipeline.Enable continuous delivery of data by automating data governance, integration and…"
62,Data / Imaging Scientist,Tailored Management,"Mississauga, ON•Temporarily Remote",$56 - $66 an hour,Product development experience with a focus on data analysis preferred.Implements or modifies existing algorithms to analyze histopathology images and data.
63,Deep Learning / Data Science Inter,Zighra (Techstars company),"Ottawa, ON•Remote",$35 an hour,"Zighra transforms mobile sensor data into human-relatable intelligence, and hence this project sits at the heart of its technology."
64,Data Science Inter,LeapGrad Corp.,"Toronto, ON•Temporarily Remote",,"Ability to data extract, transform, and load processes with a variety of data types.Ability to perform complex data analysis on large volumes of data and…"
65,Data Science - Trading,CPQi,"Halifax, NS+1 location•Remote","$120,000 a year","Knowledgeable about best practices around data manipulation, data storage, and data visualizations.Showing a willingness and ability to help build data science…"
66,Data Science – 4 Month Co-Op/Internship (Winter 2022),Intact,"Vancouver, BC+2 locations",,"Get experience working with different types of data including telematics, text data and image data.Practical experience in data science, Machine Learning or…"
67,Data Scientist - 05/12/21,Acerta Analytics Solutions Inc,"Kitchener, ON","$90,000 - $115,000 a year",Minimum of 3 - 5 years of data science experience using python.Experience with time-series and operations data is an asset.Available in office full-time (KW).
68,Data Science & Analytics Masters - New Grad Leadership Devel...,Rogers Communications,"Brampton, ON•Temporarily Remote",,"Passionate about technology, data science, analytical models, machine learning, quantitative modelling, software development and automation."
69,Data Science Instructor,Fanavaran,"Mississauga, ON•Remote","$54,602 - $119,129 a year","Train in-person or online boot camp students, the next generation of data scientists, on a wide range of topics ranging from statistics, probability, SQL, R…"
70,Data Scientist,Billi,"Victoria, BC•Remote","$80,000 - $100,000 a year","Demonstrated statistical, machine learning, and data science skills.Acting as the primary source of expertise on machine learning and owning the data science…"
71,Data Science and Analytics - New Grad Leadership Development...,Rogers Communications,"Brampton, ON•Temporarily Remote",,"Passionate about analytical and statistical modeling, data science, machine learning, data visualization and deriving knowledge from raw data in general."
72,Data Analyst,Sonic Incytes Medical Corp.,"Vancouver, BC•Temporarily Remote","$60,000 - $90,000 a year","Technical expertise & knowledge in data mining, data models, analysis, and reporting.Designing and maintaining data systems / databases, focused on competitive…"
73,Data Science Instructor,Journey Education,Canada•Remote,"$10,000 - $15,000 a month","As a data science instructor you will be responsible for leading lectures on various topics, assigning course work, grading, and mentoring students on a 1-1…"
74,Data Science Inter,Flinks,"Montréal, QC",,Present information using data visualization techniques.Clean & update training data through manual labeling.Train NLP models on SageMaker.
75,"Director, Data Scienc",Webware.io,"Toronto, ON•Temporarily Remote","$140,000 - $150,000 a year",5-7 years data science experience data science manipulating data sets and building statistical models and creating reports.Temporarily due to COVID-19.
76,Data Scientist,Canexia Health Inc.,"Vancouver, BC•Remote","$53,348 - $129,295 a year","Education: You hold a Master’s degree in bioinformatics, data science, biostatistics, or.Prepare statistically motivated plots of mutation data for…"
77,Data / Imaging Scientist,Tailored Management,"Mississauga, ON•Temporarily Remote",$56 - $66 an hour,Product development experience with a focus on data analysis preferred.Implements or modifies existing algorithms to analyze histopathology images and data.
78,Deep Learning / Data Science Inter,Zighra (Techstars company),"Ottawa, ON•Remote",$35 an hour,"Zighra transforms mobile sensor data into human-relatable intelligence, and hence this project sits at the heart of its technology."
79,Data Science Inter,LeapGrad Corp.,"Toronto, ON•Temporarily Remote",,"Ability to data extract, transform, and load processes with a variety of data types.Ability to perform complex data analysis on large volumes of data and…"
80,Data Science - Trading,CPQi,"Halifax, NS+1 location•Remote","$120,000 a year","Knowledgeable about best practices around data manipulation, data storage, and data visualizations.Showing a willingness and ability to help build data science…"
81,Data Science – 4 Month Co-Op/Internship (Winter 2022),Intact,"Vancouver, BC+2 locations",,"Get experience working with different types of data including telematics, text data and image data.Practical experience in data science, Machine Learning or…"
82,Data Scientist - 05/12/21,Acerta Analytics Solutions Inc,"Kitchener, ON","$90,000 - $115,000 a year",Minimum of 3 - 5 years of data science experience using python.Experience with time-series and operations data is an asset.Available in office full-time (KW).
83,Data Science & Analytics Masters - New Grad Leadership Devel...,Rogers Communications,"Brampton, ON•Temporarily Remote",,"Passionate about technology, data science, analytical models, machine learning, quantitative modelling, software development and automation."
84,Data Science Instructor,Fanavaran,"Mississauga, ON•Remote","$54,602 - $119,129 a year","Train in-person or online boot camp students, the next generation of data scientists, on a wide range of topics ranging from statistics, probability, SQL, R…"
85,Data Scientist,Billi,"Victoria, BC•Remote","$80,000 - $100,000 a year","Demonstrated statistical, machine learning, and data science skills.Acting as the primary source of expertise on machine learning and owning the data science…"
86,Data Science and Analytics - New Grad Leadership Development...,Rogers Communications,"Brampton, ON•Temporarily Remote",,"Passionate about analytical and statistical modeling, data science, machine learning, data visualization and deriving knowledge from raw data in general."
87,Data Analyst,Sonic Incytes Medical Corp.,"Vancouver, BC•Temporarily Remote","$60,000 - $90,000 a year","Technical expertise & knowledge in data mining, data models, analysis, and reporting.Designing and maintaining data systems / databases, focused on competitive…"
88,Data Science Instructor,Journey Education,Canada•Remote,"$10,000 - $15,000 a month","As a data science instructor you will be responsible for leading lectures on various topics, assigning course work, grading, and mentoring students on a 1-1…"
89,Data Science Inter,Flinks,"Montréal, QC",,Present information using data visualization techniques.Clean & update training data through manual labeling.Train NLP models on SageMaker.
90,Deep Learning / Data Science Inter,Zighra (Techstars company),"Ottawa, ON•Remote",$35 an hour,"Zighra transforms mobile sensor data into human-relatable intelligence, and hence this project sits at the heart of its technology."
91,Data Scientist,Canexia Health Inc.,"Vancouver, BC•Remote","$53,348 - $129,295 a year","Education: You hold a Master’s degree in bioinformatics, data science, biostatistics, or.Prepare statistically motivated plots of mutation data for…"
92,ML Engineer (Remote Only),Translucent Computing,"Quebec City, QC•Remote",,"Orchestrate access of data from code or raw data sources via data pipeline.Enable continuous delivery of data by automating data governance, integration and…"
93,Data Science Inter,LeapGrad Corp.,"Toronto, ON•Temporarily Remote",,"Ability to data extract, transform, and load processes with a variety of data types.Ability to perform complex data analysis on large volumes of data and…"
94,Data Science - Trading,CPQi,"Halifax, NS+1 location•Remote","$120,000 a year","Knowledgeable about best practices around data manipulation, data storage, and data visualizations.Showing a willingness and ability to help build data science…"
95,Data Science – 4 Month Co-Op/Internship (Winter 2022),Intact,"Vancouver, BC+2 locations",,"Get experience working with different types of data including telematics, text data and image data.Practical experience in data science, Machine Learning or…"
96,Data Scientist - 05/12/21,Acerta Analytics Solutions Inc,"Kitchener, ON","$90,000 - $115,000 a year",Minimum of 3 - 5 years of data science experience using python.Experience with time-series and operations data is an asset.Available in office full-time (KW).
97,Data Science & Analytics Masters - New Grad Leadership Devel...,Rogers Communications,"Brampton, ON•Temporarily Remote",,"Passionate about technology, data science, analytical models, machine learning, quantitative modelling, software development and automation."
98,Data Science Instructor,Fanavaran,"Mississauga, ON•Remote","$54,602 - $119,129 a year","Train in-person or online boot camp students, the next generation of data scientists, on a wide range of topics ranging from statistics, probability, SQL, R…"
99,Data Scientist,Billi,"Victoria, BC•Remote","$80,000 - $100,000 a year","Demonstrated statistical, machine learning, and data science skills.Acting as the primary source of expertise on machine learning and owning the data science…"
100,Data Science and Analytics - New Grad Leadership Development...,Rogers Communications,"Brampton, ON•Temporarily Remote",,"Passionate about analytical and statistical modeling, data science, machine learning, data visualization and deriving knowledge from raw data in general."
101,Data Analyst,Sonic Incytes Medical Corp.,"Vancouver, BC•Temporarily Remote","$60,000 - $90,000 a year","Technical expertise & knowledge in data mining, data models, analysis, and reporting.Designing and maintaining data systems / databases, focused on competitive…"
102,Data Science Instructor,Journey Education,Canada•Remote,"$10,000 - $15,000 a month","As a data science instructor you will be responsible for leading lectures on various topics, assigning course work, grading, and mentoring students on a 1-1…"
103,Data / Imaging Scientist,Tailored Management,"Mississauga, ON•Temporarily Remote",$56 - $66 an hour,Product development experience with a focus on data analysis preferred.Implements or modifies existing algorithms to analyze histopathology images and data.
104,Data Science Inter,Flinks,"Montréal, QC",,Present information using data visualization techniques.Clean & update training data through manual labeling.Train NLP models on SageMaker.
105,Data Scientist,Canexia Health Inc.,"Vancouver, BC•Remote","$53,348 - $129,295 a year","Education: You hold a Master’s degree in bioinformatics, data science, biostatistics, or.Prepare statistically motivated plots of mutation data for…"
106,ML Engineer (Remote Only),Translucent Computing,"Quebec City, QC•Remote",,"Orchestrate access of data from code or raw data sources via data pipeline.Enable continuous delivery of data by automating data governance, integration and…"
107,Data / Imaging Scientist,Tailored Management,"Mississauga, ON•Temporarily Remote",$56 - $66 an hour,Product development experience with a focus on data analysis preferred.Implements or modifies existing algorithms to analyze histopathology images and data.
108,Deep Learning / Data Science Inter,Zighra (Techstars company),"Ottawa, ON•Remote",$35 an hour,"Zighra transforms mobile sensor data into human-relatable intelligence, and hence this project sits at the heart of its technology."
109,Data Science Inter,LeapGrad Corp.,"Toronto, ON•Temporarily Remote",,"Ability to data extract, transform, and load processes with a variety of data types.Ability to perform complex data analysis on large volumes of data and…"
110,Data Science - Trading,CPQi,"Halifax, NS+1 location•Remote","$120,000 a year","Knowledgeable about best practices around data manipulation, data storage, and data visualizations.Showing a willingness and ability to help build data science…"
111,Data Science – 4 Month Co-Op/Internship (Winter 2022),Intact,"Vancouver, BC+2 locations",,"Get experience working with different types of data including telematics, text data and image data.Practical experience in data science, Machine Learning or…"
112,Data Scientist - 05/12/21,Acerta Analytics Solutions Inc,"Kitchener, ON","$90,000 - $115,000 a year",Minimum of 3 - 5 years of data science experience using python.Experience with time-series and operations data is an asset.Available in office full-time (KW).
113,Data Science & Analytics Masters - New Grad Leadership Devel...,Rogers Communications,"Brampton, ON•Temporarily Remote",,"Passionate about technology, data science, analytical models, machine learning, quantitative modelling, software development and automation."
114,Data Science Instructor,Fanavaran,"Mississauga, ON•Remote","$54,602 - $119,129 a year","Train in-person or online boot camp students, the next generation of data scientists, on a wide range of topics ranging from statistics, probability, SQL, R…"
115,Data Scientist,Billi,"Victoria, BC•Remote","$80,000 - $100,000 a year","Demonstrated statistical, machine learning, and data science skills.Acting as the primary source of expertise on machine learning and owning the data science…"
116,Data Science and Analytics - New Grad Leadership Development...,Rogers Communications,"Brampton, ON•Temporarily Remote",,"Passionate about analytical and statistical modeling, data science, machine learning, data visualization and deriving knowledge from raw data in general."
117,Data Analyst,Sonic Incytes Medical Corp.,"Vancouver, BC•Temporarily Remote","$60,000 - $90,000 a year","Technical expertise & knowledge in data mining, data models, analysis, and reporting.Designing and maintaining data systems / databases, focused on competitive…"
118,Data Science Instructor,Journey Education,Canada•Remote,"$10,000 - $15,000 a month","As a data science instructor you will be responsible for leading lectures on various topics, assigning course work, grading, and mentoring students on a 1-1…"
119,Data Science Inter,Flinks,"Montréal, QC",,Present information using data visualization techniques.Clean & update training data through manual labeling.Train NLP models on SageMaker.
120,Data Scientist,Canexia Health Inc.,"Vancouver, BC•Remote","$53,348 - $129,295 a year","Education: You hold a Master’s degree in bioinformatics, data science, biostatistics, or.Prepare statistically motivated plots of mutation data for…"
121,ML Engineer (Remote Only),Translucent Computing,"Quebec City, QC•Remote",,"Orchestrate access of data from code or raw data sources via data pipeline.Enable continuous delivery of data by automating data governance, integration and…"
122,Data / Imaging Scientist,Tailored Management,"Mississauga, ON•Temporarily Remote",$56 - $66 an hour,Product development experience with a focus on data analysis preferred.Implements or modifies existing algorithms to analyze histopathology images and data.
123,Deep Learning / Data Science Inter,Zighra (Techstars company),"Ottawa, ON•Remote",$35 an hour,"Zighra transforms mobile sensor data into human-relatable intelligence, and hence this project sits at the heart of its technology."
124,Data Science Inter,LeapGrad Corp.,"Toronto, ON•Temporarily Remote",,"Ability to data extract, transform, and load processes with a variety of data types.Ability to perform complex data analysis on large volumes of data and…"
125,Data Science - Trading,CPQi,"Halifax, NS+1 location•Remote","$120,000 a year","Knowledgeable about best practices around data manipulation, data storage, and data visualizations.Showing a willingness and ability to help build data science…"
126,Data Science – 4 Month Co-Op/Internship (Winter 2022),Intact,"Vancouver, BC+2 locations",,"Get experience working with different types of data including telematics, text data and image data.Practical experience in data science, Machine Learning or…"
127,Data Scientist - 05/12/21,Acerta Analytics Solutions Inc,"Kitchener, ON","$90,000 - $115,000 a year",Minimum of 3 - 5 years of data science experience using python.Experience with time-series and operations data is an asset.Available in office full-time (KW).
128,Data Science & Analytics Masters - New Grad Leadership Devel...,Rogers Communications,"Brampton, ON•Temporarily Remote",,"Passionate about technology, data science, analytical models, machine learning, quantitative modelling, software development and automation."
129,Data Science Instructor,Fanavaran,"Mississauga, ON•Remote","$54,602 - $119,129 a year","Train in-person or online boot camp students, the next generation of data scientists, on a wide range of topics ranging from statistics, probability, SQL, R…"
130,Data Scientist,Billi,"Victoria, BC•Remote","$80,000 - $100,000 a year","Demonstrated statistical, machine learning, and data science skills.Acting as the primary source of expertise on machine learning and owning the data science…"
131,Data Science and Analytics - New Grad Leadership Development...,Rogers Communications,"Brampton, ON•Temporarily Remote",,"Passionate about analytical and statistical modeling, data science, machine learning, data visualization and deriving knowledge from raw data in general."
132,Data Analyst,Sonic Incytes Medical Corp.,"Vancouver, BC•Temporarily Remote","$60,000 - $90,000 a year","Technical expertise & knowledge in data mining, data models, analysis, and reporting.Designing and maintaining data systems / databases, focused on competitive…"
133,Data Science Instructor,Journey Education,Canada•Remote,"$10,000 - $15,000 a month","As a data science instructor you will be responsible for leading lectures on various topics, assigning course work, grading, and mentoring students on a 1-1…"
134,Data Science Inter,Flinks,"Montréal, QC",,Present information using data visualization techniques.Clean & update training data through manual labeling.Train NLP models on SageMaker.
135,"Director, Data Scienc",Webware.io,"Toronto, ON•Temporarily Remote","$140,000 - $150,000 a year",5-7 years data science experience data science manipulating data sets and building statistical models and creating reports.Temporarily due to COVID-19.
136,Data Scientist,Canexia Health Inc.,"Vancouver, BC•Remote","$53,348 - $129,295 a year","Education: You hold a Master’s degree in bioinformatics, data science, biostatistics, or.Prepare statistically motivated plots of mutation data for…"
137,Data Science - Trading,CPQi,"Halifax, NS+1 location•Remote","$120,000 a year","Knowledgeable about best practices around data manipulation, data storage, and data visualizations.Showing a willingness and ability to help build data science…"
138,ML Engineer (Remote Only),Translucent Computing,"Quebec City, QC•Remote",,"Orchestrate access of data from code or raw data sources via data pipeline.Enable continuous delivery of data by automating data governance, integration and…"
139,Data Science – 4 Month Co-Op/Internship (Winter 2022),Intact,"Vancouver, BC+2 locations",,"Get experience working with different types of data including telematics, text data and image data.Practical experience in data science, Machine Learning or…"
140,Data Science Instructor,Fanavaran,"Mississauga, ON•Remote","$54,602 - $119,129 a year","Train in-person or online boot camp students, the next generation of data scientists, on a wide range of topics ranging from statistics, probability, SQL, R…"
141,Senior Data Analyst,TELUS Communications,Ontario•Temporarily Remote,$80 an hour,Strong analytical skills to pull insights from quantitative and qualitative data sets.Comfortable with manipulating data BI tools.
142,Data Scientist - 05/12/21,Acerta Analytics Solutions Inc,"Kitchener, ON","$90,000 - $115,000 a year",Minimum of 3 - 5 years of data science experience using python.Experience with time-series and operations data is an asset.Available in office full-time (KW).
143,Data Scientist,Phyla,"Montréal, QC•Remote","$70,000 - $80,000 a year",Experience in development and implementation of experimental and analytical strategies to address a variety of business problems with advanced data science…
144,Data Science Instructor,Journey Education,Canada•Remote,"$10,000 - $15,000 a month","As a data science instructor you will be responsible for leading lectures on various topics, assigning course work, grading, and mentoring students on a 1-1…"
145,Data Science & Analytics Masters - New Grad Leadership Devel...,Rogers Communications,"Brampton, ON•Temporarily Remote",,"Passionate about technology, data science, analytical models, machine learning, quantitative modelling, software development and automation."
146,Marketing Data Analyst,ATS Automation,"Cambridge, ON•Temporarily Remote",,"Bachelor’s degree in marketing, statistics, or data science.Experience with data visualization tools (Tableau preferred).Experience with various survey tools."
147,"Manager, Fraud Data Scienc",RBC,"Toronto, ON•Temporarily Remote",,"3+ years of data science or analytics experience.Strong knowledge of Big Data platforms, architecture and data tools such as Hadoop and Spark."
148,Data Science and Analytics - New Grad Leadership Development...,Rogers Communications,"Brampton, ON•Temporarily Remote",,"Passionate about analytical and statistical modeling, data science, machine learning, data visualization and deriving knowledge from raw data in general."
149,Data Scientist,Government of Saskatchewan,"Regina, SK","$6,911 - $8,986 a month","Typically, the knowledge and abilities required for this position would be obtained through the completion of a degree in social science, statistics or data…"
150,"Director, Data Scienc",Webware.io,"Toronto, ON•Temporarily Remote","$140,000 - $150,000 a year",5-7 years data science experience data science manipulating data sets and building statistical models and creating reports.Temporarily due to COVID-19.
